,0
0,Colorado
1,Connecticut
2,Delaware
3,Georgia
4,Idaho
5,Illinois
6,Indiana
7,Iowa
8,Kansas
9,Kentucky
10,Louisiana
11,Maine
12,Massachusetts
13,Mississippi
14,Missouri
15,Montana
16,Nebraska
17,Nevada
18,North Carolina
19,North Dakota
20,Ohio
21,Oklahoma
22,Oregon
23,Pennsylvania
24,Rhode Island
25,South Carolina
26,South Dakota
27,Tennessee
28,Utah
29,Vermont
30,Virginia
31,West Virginia
32,Wisconsin
33,Wyoming
